18657 18000
4
1
2
3
4
189
Syuzanna Grigoryan
ARM
21
1 1304 14
1 3251 42
1 3474 42
1 3700 42
1 3833 56
1 5586 84
1 5983 100
2 7342 16
2 7886 28
2 9385 12
2 9426 28
2 9984 28
2 9963 28
2 10092 43
3 11400 20
4 14973 0
4 15092 0
4 15189 0
4 15449 0
4 15574 15
3 17114 20
Filya Geikyan
ARM
23
1 1337 100
2 2741 16
2 2791 16
2 3182 28
2 3754 16
2 3864 16
2 3992 43
2 4125 43
3 6944 0
2 9150 0
2 9191 16
2 9374 43
2 9309 0
2 9791 36
2 9866 43
2 10020 43
2 9947 43
2 10100 63
3 10531 0
3 10791 0
3 11189 20
4 15840 0
4 17240 15
Meri Badalyan
ARM
11
1 4498 100
2 6976 16
2 7556 28
3 9151 20
3 9400 20
2 12520 12
2 12559 43
4 13861 0
4 14561 0
4 15154 0
3 17887 0
Arpi Prazyan
ARM
14
1 3628 0
1 5371 0
1 5569 19
1 5784 33
1 5874 33
1 6106 33
1 6212 61
1 6343 61
1 6450 84
2 8400 0
2 8635 0
2 8715 0
2 9418 12
2 12519 28
Uliana Malanyak
AUT
19
1 1606 100
1 1251 33
2 5035 100
3 5972 0
3 6264 0
3 6563 0
3 7288 0
3 7547 0
4 8911 15
3 10043 20
4 10910 0
4 11441 0
4 12293 0
4 12687 18
4 12999 33
3 16411 0
3 16582 0
3 16892 0
3 17384 27
Fidan Garayeva
AZE
26
1 1092 100
3 3104 0
3 3201 0
3 3408 0
3 3504 0
3 4065 20
3 5678 0
2 6346 16
2 7057 16
2 7107 28
2 8177 43
3 9497 0
3 9610 0
3 9636 0
3 9991 0
4 10905 0
4 11354 0
4 11583 15
3 12630 0
3 13439 0
3 16943 0
4 16929 0
3 17161 0
3 17193 0
3 17539 0
3 17644 0
Fidan Huseynova
AZE
18
1 1050 100
1 988 19
2 6931 22
2 7921 48
2 8133 48
2 8491 70
4 9622 0
4 10533 0
4 10716 0
4 11271 0
4 11501 15
4 11488 0
4 11916 0
4 11950 10
3 13147 20
3 16769 0
3 17058 27
3 17364 50
Ayan Karimova
AZE
24
1 1992 42
1 1639 14
1 5102 14
1 5315 14
1 5469 0
1 5563 14
1 6005 61
2 7071 0
2 8468 12
2 10090 12
2 10708 0
3 11839 3
1 13138 61
1 13545 61
1 13824 61
1 14054 61
1 14353 61
1 14242 61
2 15008 0
2 15373 16
2 15513 16
2 15644 28
2 16199 12
2 16148 0
Rahidil Bayramli
AZE
15
1 765 42
1 2721 61
3 3706 3
3 4364 0
1 5067 61
1 7329 19
1 7431 61
1 7708 0
1 7773 61
2 8804 0
2 9272 12
1 10912 84
3 12485 3
3 17749 0
3 17862 0
Valeria Cartagena Vaca
BOL
15
1 2470 42
1 1892 14
1 1732 0
1 1614 0
1 1481 0
2 4549 0
2 4682 0
2 4756 0
1 5611 19
2 6376 0
1 10121 19
1 11428 61
2 14118 0
2 14576 12
4 16014 0
Lauren Jhanis Chavarría Colque
BOL
6
1 2828 42
2 10685 0
2 11092 0
2 11523 0
3 17158 0
2 17980 0
Mayra Fernández Palma
BOL
0
Alejandra Susana Saavedra Zamora
BOL
6
1 3069 14
1 4050 28
1 4853 0
1 6412 0
1 11959 0
2 16855 0
