11722 10800
2
1
2
189
Syuzanna Grigoryan
ARM
19
2 10313 76
2 10543 0
2 10634 0
2 10741 0
Emiliana Ivanova Dimitrova
BGR
70
2 3480 18
2 2842 19
2 2781 19
2 2530 17
2 2494 15
2 2450 16
2 2396 14
2 2376 24
2 2269 19
2 2244 24
2 2227 18
2 2197 17
2 2169 17
2 2116 15
2 2085 24
2 1685 0
1 828 100
1 682 21
1 533 21
2 5446 12
2 5935 24
2 6050 18
2 6030 15
2 6005 17
2 6088 22
2 6114 23
2 6143 26
2 6174 19
2 6196 20
2 6335 18
2 6367 19
2 6356 17
2 6828 66
2 6884 74
2 6993 67
2 7018 66
2 7037 67
2 7055 74
2 7078 65
2 7110 70
2 7136 68
2 7159 70
2 7284 65
2 7263 69
2 7237 73
2 7211 71
2 7182 71
2 7353 74
2 7414 73
2 7475 69
2 7566 69
2 7638 70
2 7773 74
2 8193 0
2 8240 72
2 8510 73
2 8493 63
2 8461 69
2 8417 73
2 8391 71
2 8552 70
2 8575 69
2 9345 69
2 9769 0
2 9751 18
2 9731 5
2 9622 0
2 9827 0
2 9847 18
2 10595 72
Nermin Hyusmen Idiriz
BGR
13
2 4608 73
2 4386 73
2 1864 17
1 748 100
1 671 21
2 6995 0
2 8583 0
2 8791 65
2 8863 73
2 9526 73
2 9751 0
2 9856 68
2 10354 73
Iva Tadić
HRV
8
1 824 100
2 5971 17
2 7267 16
2 7299 16
2 8040 73
2 8295 72
2 8469 73
2 8401 72
Lara Semeš
HRV
42
2 4375 21
2 4347 16
2 4266 21
2 4184 0
2 3884 0
2 3764 22
2 2829 0
2 2650 36
2 2549 36
1 970 100
2 4734 0
2 4839 20
2 4952 0
2 5059 50
2 5098 49
2 5126 54
2 5148 56
2 5182 49
2 5776 0
2 5867 27
2 5921 56
2 6148 57
2 6619 0
2 6705 0
2 6847 39
2 7648 31
2 7754 51
2 8071 51
2 8567 0
2 8606 78
2 8777 0
2 8812 0
2 9012 78
2 9290 57
2 9785 0
2 9886 76
2 9961 76
2 10152 78
2 10323 0
2 10303 0
2 10245 78
2 10749 0
Maša Dobrić
HRV
6
2 4658 49
2 3699 73
1 2228 100
1 2100 0
2 5966 72
2 7260 72
Lana Škarica
HRV
8
2 4718 0
2 2856 0
1 970 100
2 4847 0
2 4987 17
2 6849 15
2 7128 12
2 8069 73
Zuzana Aubrechtová
CZE
8
2 3504 17
1 2261 21
2 4899 73
2 6116 0
2 8021 23
1 9258 100
2 9379 73
2 10246 68
Lucie Roskovská
CZE
4
2 4392 25
2 2710 0
1 718 100
2 5131 25
Anh Linh Tran
CZE
9
1 2461 100
2 6048 0
2 6397 0
2 8749 0
2 10041 19
2 10241 16
2 10415 20
2 10551 14
2 10611 20
Svatava Šimečková
CZE
14
2 2329 17
1 1621 100
1 4970 0
2 5015 73
2 5858 64
2 6582 31
2 6814 68
2 7066 68
2 7048 68
2 8055 17
2 9640 0
2 9990 0
2 10374 0
2 10755 0
Julie Lagoni
DNK
18
2 3913 73
2 3882 69
1 3309 21
1 3230 0
2 2088 0
2 1726 73
2 1271 17
1 934 21
1 827 0
1 6917 21
1 7803 0
1 8399 0
1 8542 21
1 8617 100
2 8998 67
2 9743 0
2 9924 0
2 10113 36
Rakel Sophia Hermann
DNK
4
2 4717 0
1 1709 30
2 5887 27
2 6568 0
Sara Bettio
DNK
2
1 2567 100
2 6163 17
Leonora Thøgersen
DNK
5
1 1837 21
2 6936 17
1 9970 0
1 10049 0
1 10082 21
Gabriela Padilla Salgado
ECU
7
2 9746 0
1 8183 100
2 7630 0
1 6423 21
1 3955 21
1 3765 0
1 3538 0
Melany Zavala Toapanta
ECU
0
Shekina Chango Franco
ECU
0
Dayana Chiluisa Flores
ECU
2
1 10741 0
1 9525 0
Shahd Mohamed Abdalla
EGY
13
2 4648 0
2 4292 0
2 3237 0
2 3005 0
2 2674 0
1 672 100
2 5630 0
2 7012 0
2 8272 0
2 8323 0
2 9947 0
2 10196 0
2 10566 0
Zena Hossam Abd El-Aty
EGY
25
2 3862 30
2 3696 0
2 2928 23
2 2853 0
2 2571 0
2 2527 0
2 2419 0
2 2038 17
1 1192 100
1 1005 0
1 941 0
2 6248 0
2 6311 0
2 6486 0
2 6599 0
2 6973 0
2 6988 0
2 7578 0
2 9698 0
