18291 18000
4
1
2
3
4
189
Syuzanna Grigoryan
ARM
35
3 16130 22
2 17336 25
3 17706 22
3 17916 22
Endy Lumy Okamura Miyashita
BRA
12
3 6464 12
2 5780 6
2 5463 6
1 3004 34
4 8780 30
1 13000 0
1 14278 63
2 16648 6
2 16852 6
2 16945 25
4 17934 0
4 17988 0
Estela Baron Nakamura
BRA
12
1 4251 100
1 3814 11
2 8181 0
2 8598 0
2 8820 6
2 10158 6
3 11276 0
3 11601 0
3 11743 12
3 12215 22
3 15691 22
4 17905 0
Yasmin Behich Erdim
BGR
38
1 7440 100
1 5574 11
1 5516 11
1 5453 11
1 5337 0
1 5305 11
1 3625 29
1 3553 0
1 3284 40
1 3175 40
1 3114 11
1 3005 40
1 2871 40
1 2792 40
1 2322 0
1 2059 40
1 1895 40
1 1589 11
1 1161 11
2 8788 0
2 8829 0
2 8908 6
2 9325 6
2 9812 6
2 9910 6
2 10148 25
2 13209 6
3 13997 22
3 14078 12
3 14615 12
3 14911 12
3 15388 22
3 15509 22
3 15627 22
3 16865 22
3 17022 22
4 17898 0
4 17969 0
Nora Ognyanova Paskaleva
BGR
45
1 7620 11
1 7130 11
1 7090 11
1 6995 11
1 6688 11
1 6174 40
1 5820 0
1 4968 0
1 4566 40
1 4500 0
1 3444 40
1 2907 11
1 2196 11
1 1863 11
1 1683 40
1 1433 11
1 9154 100
2 9879 6
2 10228 6
2 10372 22
2 11690 25
2 11775 25
2 11818 41
2 11950 25
2 12333 25
2 12441 0
2 12473 0
2 12499 0
2 12663 25
2 13227 25
2 13564 25
2 14301 0
2 14477 0
2 14654 100
3 15872 0
3 16087 0
3 16290 12
3 16646 12
3 16711 12
3 16999 12
3 17138 12
3 17374 22
3 17522 22
3 17884 0
3 17922 0
Emiliana Ivanova Dimitrova
BGR
41
2 7836 0
2 7769 0
2 7685 0
2 7047 0
2 6883 0
1 3445 100
1 3422 29
1 3230 0
1 2832 23
1 2641 52
3 9097 0
3 9183 0
2 9219 19
2 9256 19
2 9452 19
2 9744 19
2 9830 19
3 10699 0
3 10844 12
3 11448 0
3 11476 12
3 11737 12
3 11979 22
3 12729 22
3 12804 22
3 13113 22
3 13455 22
4 14368 0
4 14440 0
4 14495 0
4 14641 0
4 15026 10
3 15335 22
3 15494 22
3 16178 22
3 16410 22
2 16763 25
3 17641 22
3 17722 22
3 17913 22
3 17967 22
Nermin Hyusmen Idiriz
BGR
21
2 7465 6
1 7074 11
3 5290 12
3 4999 12
3 4136 12
1 2453 63
1 1902 40
1 1353 11
1 701 11
3 8479 31
3 10219 31
3 10795 31
3 12923 31
3 13603 31
3 13676 31
2 15186 19
1 16878 0
1 16908 0
1 17129 11
1 17446 0
3 17988 31
Iva Tadić
HRV
21
2 7910 0
1 7088 63
1 6933 34
1 6840 11
1 6087 34
1 5348 11
2 8146 6
2 8557 6
2 9051 6
2 9641 6
2 10299 6
2 10363 6
2 10423 6
2 10484 25
3 12970 0
3 13283 22
3 14506 22
3 14905 22
3 15473 41
2 17090 41
3 17966 41
Lara Semeš
HRV
17
2 3875 100
2 3792 6
2 3370 6
1 2118 100
1 854 34
3 11801 19
3 13097 0
3 13277 19
3 13467 19
3 13642 0
3 13679 19
3 13926 41
3 14601 71
4 17659 0
4 17826 0
4 17932 0
4 17997 0
Maša Dobrić
HRV
17
3 6904 41
3 6837 0
3 6680 22
3 6108 22
1 2035 100
3 9532 13
3 9789 35
3 9929 54
2 11782 22
2 12005 22
4 14010 0
4 14324 10
2 14671 22
2 15920 22
2 16266 22
2 17091 22
2 17997 22
Lana Škarica
HRV
11
2 7041 41
2 6267 22
1 3808 63
1 2938 34
3 9090 0
3 10081 22
4 11605 10
2 14246 0
3 14276 22
2 17243 41
2 17845 41
Zuzana Aubrechtová
CZE
7
1 4415 100
4 11974 0
4 12705 48
4 13098 48
4 14846 58
4 15649 62
2 17412 19
Lucie Roskovská
CZE
20
1 5238 11
1 5218 0
1 1989 0
1 1185 0
3 10256 0
3 10372 0
3 10732 0
3 11209 12
3 11944 12
3 12035 12
3 12265 12
1 16047 40
1 16180 0
1 16338 63
3 16882 0
3 17163 0
3 17264 12
3 17586 12
3 17771 12
3 17825 12
Anh Linh Tran
CZE
9
1 5909 11
1 14989 0
2 16142 0
2 16380 6
2 16356 0
2 16967 0
2 17114 6
2 17369 6
2 17918 6
Svatava Šimečková
CZE
18
4 7183 10
4 6754 0
1 4387 63
1 3903 40
1 3043 34
1 3024 0
1 1633 11
2 12014 0
2 12226 19
2 12576 25
3 13153 12
3 14122 22
3 16475 41
1 16922 63
1 16981 63
1 17086 63
1 17667 11
1 17833 63
Julie Lagoni
DNK
17
3 7061 12
1 6701 34
3 5598 0
1 4250 11
1 4155 0
1 3544 11
2 2232 6
1 805 0
4 10141 10
1 13254 40
1 13513 63
2 14372 6
2 14771 25
4 15006 0
3 17764 0
3 17783 12
3 17949 12
Rakel Sophia Hermann
DNK
27
2 9960 0
2 10402 0
4 12701 0
1 13753 0
1 13805 0
1 14097 0
1 14242 0
1 14484 0
1 14836 0
1 14874 0
1 14959 0
1 15027 0
1 15791 0
2 15971 0
2 16015 0
2 16324 0
2 16420 0
2 16582 0
2 16646 0
2 16974 0
2 17175 0
2 17279 0
2 17603 0
2 17702 0
2 17797 0
2 17851 0
2 17921 0
Sara Bettio
DNK
15
2 6911 6
1 3069 11
2 8118 6
2 8480 6
2 8673 6
2 8956 6
2 11223 6
2 11503 6
2 11722 6
3 13616 12
3 15728 12
3 15793 12
3 16056 12
3 16969 12
3 17851 12
Leonora Thøgersen
DNK
7
3 5869 22
2 2275 6
1 1225 11
4 8581 10
1 10449 11
1 10959 34
2 13589 6
Gabriela Padilla Salgado
ECU
12
2 4345 0
2 4258 0
2 3828 0
2 3677 0
2 3590 0
2 14123 0
2 14541 0
2 14763 0
2 15007 0
2 16536 0
2 17022 6
2 17820 0
Melany Zavala Toapanta
ECU
2
2 17752 0
1 17773 0
Shekina Chango Franco
ECU
1
1 6015 0
Dayana Chiluisa Flores
ECU
3
4 7027 0
1 3555 0
2 12447 0
Shahd Mohamed Abdalla
EGY
26
3 7603 0
3 7467 0
3 7397 0
3 6796 12
1 6375 29
1 6332 29
1 6030 29
2 4181 25
2 4118 19
2 3432 6
1 2645 0
1 2586 0
1 2236 29
1 2020 40
1 1606 40
3 8063 12
3 8135 0
3 8185 12
3 8397 12
4 11082 10
1 15245 23
1 15368 63
2 16353 22
2 16488 41
3 16729 12
3 17943 0
Zena Hossam Abd El-Aty
EGY
21
2 7696 6
2 7418 0
1 4713 11
2 8279 6
2 8363 0
2 8424 22
1 8785 0
1 8823 0
1 9263 11
1 9799 11
1 9976 0
1 12877 0
1 12915 100
3 14499 0
3 14662 0
3 15746 0
3 16106 0
3 16318 12
3 16588 12
3 16791 12
2 17616 6
Sondos Waleed Elshopaky
EGY
26
3 7814 12
3 7651 0
3 7444 0
3 7264 0
2 6303 41
2 5579 25
2 5196 25
3 8318 12
